ticker,date,open,high,low,close,adj_close,volume
^N225,2026-09-03 15:00:00,64498.94140625,65182.44921875,64228.46875,65020.94140625,65020.94140625,155800000
^N225,2026-09-06 15:00:00,65600.421875,66668.7109375,65600.421875,66399.84375,66399.84375,141300000
^N225,2026-09-07 15:00:00,65843.6875,66791.84375,65269.328125,65269.328125,65269.328125,148400000
^N225,2026-09-08 15:00:00,65087.21875,65794.03125,65017.6796875,65142.78125,65142.78125,164300000
^N225,2026-09-09 15:00:00,64768.53125,65270.94921875,64186.6796875,65270.94921875,65270.94921875,153400000
^N225,2026-09-10 15:00:00,64276.8203125,64312.01953125,63208.62890625,64011.33984375,64011.33984375,168000000
^N225,2026-09-13 15:00:00,63659.53125,63691.53125,62726.1796875,63492.98828125,63492.98828125,135800000
^N225,2026-09-14 15:00:00,63190.37109375,64101.0,63067.1796875,63484.1015625,63484.1015625,135000000
^N225,2026-09-15 15:00:00,63672.12890625,63923.0,63209.921875,63923.0,63923.0,124200000
^NSEI,2026-09-01 18:30:00,23858.0,23914.44921875,23786.80078125,23914.44921875,23914.44921875,318900
^NSEI,2026-09-02 18:30:00,23997.94921875,24025.400390625,23873.44921875,23873.44921875,23873.44921875,239100
^NSEI,2026-09-03 18:30:00,23910.900390625,24005.75,23895.849609375,23897.69921875,23897.69921875,231400
^NSEI,2026-09-06 18:30:00,23883.150390625,23890.0,23737.900390625,23779.150390625,23779.150390625,205900
^NSEI,2026-09-07 18:30:00,23743.099609375,23758.94921875,23623.099609375,23635.099609375,23635.099609375,230100
^NSEI,2026-09-08 18:30:00,23522.05078125,23571.55078125,23431.5,23431.5,23431.5,352900
^NSEI,2026-09-09 18:30:00,23446.599609375,23494.94921875,23380.099609375,23477.80078125,23477.80078125,253200
^NSEI,2026-09-10 18:30:00,23270.30078125,23448.099609375,23231.400390625,23398.099609375,23398.099609375,293000
^NSEI,2026-09-14 18:30:00,23576.150390625,23592.849609375,23118.599609375,23118.599609375,23118.599609375,338800
^NSEI,2026-09-15 18:30:00,23201.599609375,23284.75,23116.099609375,23217.599609375,23217.599609375,261600
^NYA,2026-09-03 04:00:00,24495.55078125,24725.470703125,24495.55078125,24720.150390625,24720.150390625,4726400000
^NYA,2026-09-04 04:00:00,24720.150390625,24720.150390625,24594.939453125,24639.25,24639.25,4103570000
^NYA,2026-09-08 04:00:00,24639.25,24639.25,24469.94921875,24473.060546875,24473.060546875,4966930000
^NYA,2026-09-09 04:00:00,24473.060546875,24473.060546875,24311.150390625,24311.150390625,24311.150390625,4896940000
^NYA,2026-09-10 04:00:00,24311.150390625,24311.150390625,24121.23046875,24140.640625,24140.640625,4893500000
^NYA,2026-09-11 04:00:00,24140.640625,24387.55078125,24140.640625,24331.560546875,24331.560546875,4722480000
^NYA,2026-09-14 04:00:00,24331.560546875,24331.560546875,24173.55078125,24205.390625,24205.390625,4963750000
^NYA,2026-09-15 04:00:00,24205.390625,24205.390625,24063.919921875,24128.4609375,24128.4609375,5154930000
^NYA,2026-09-16 04:00:00,24128.4609375,24188.130859375,23791.609375,23934.140625,23934.140625,5307920000
^NYA,2026-09-17 04:00:00,23934.14453125,24157.21484375,23934.14453125,24112.544921875,24112.544921875,0
^RUT,2026-09-03 04:00:00,2968.2099609375,2976.6201171875,2951.2900390625,2968.27001953125,2968.27001953125,4726400000
^RUT,2026-09-04 04:00:00,2956.75,2976.659912109375,2951.0400390625,2975.64990234375,2975.64990234375,4103570000
^RUT,2026-09-08 04:00:00,2969.590087890625,2975.47998046875,2958.64990234375,2960.199951171875,2960.199951171875,4966930000
^RUT,2026-09-09 04:00:00,2952.06005859375,2952.610107421875,2918.889892578125,2921.239990234375,2921.239990234375,4896940000
